Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto,Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6515,Eliminación del desperdicio de alimentos,2019,2019,mil toneladas,111.6774,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7230,Emisiones (N2O),6515,Eliminación del desperdicio de alimentos,2018,2018,mil toneladas,0.4143,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7230,Emisiones (N2O),6515,Eliminación del desperdicio de alimentos,2019,2019,mil toneladas,0.424,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7273,Emisiones (CO2),6505,Consumo de alimentos en los hogares,2018,2018,mil toneladas,674.1876,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7273,Emisiones (CO2),6505,Consumo de alimentos en los hogares,2019,2019,mil toneladas,674.1876,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6505,Consumo de alimentos en los hogares,2018,2018,mil toneladas,1.1069,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6505,Consumo de alimentos en los hogares,2019,2019,mil toneladas,1.1069,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7230,Emisiones (N2O),6505,Consumo de alimentos en los hogares,2018,2018,mil toneladas,0.006,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7230,Emisiones (N2O),6505,Consumo de alimentos en los hogares,2019,2019,mil toneladas,0.006,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7273,Emisiones (CO2),6506,Envasado alimentario,2018,2018,mil toneladas,17.6653,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7273,Emisiones (CO2),6506,Envasado alimentario,2019,2019,mil toneladas,25.1145,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6506,Envasado alimentario,2018,2018,mil toneladas,0.2541,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7225,Emisiones (CH4),6506,Envasado alimentario,2019,2019,mil toneladas,0.6233,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7230,Emisiones (N2O),6506,Envasado alimentario,2018,2018,mil toneladas,0.0006,E,Valor estimado
EM,Distribución de emisiones,320,Guatemala,7230,Emisiones (N2O),6506,Envasado alimentario,2019,2019,mil toneladas,0.0011,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7273,Emisiones (CO2),6996,Farm-gate emissions,2018,2018,mil toneladas,273.9316,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7273,Emisiones (CO2),6996,Farm-gate emissions,2019,2019,mil toneladas,308.057,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7225,Emisiones (CH4),6996,Farm-gate emissions,2018,2018,mil toneladas,184.4279,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7225,Emisiones (CH4),6996,Farm-gate emissions,2019,2019,mil toneladas,185.101,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7230,Emisiones (N2O),6996,Farm-gate emissions,2018,2018,mil toneladas,8.5994,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7230,Emisiones (N2O),6996,Farm-gate emissions,2019,2019,mil toneladas,8.487,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7273,Emisiones (CO2),6516,Cambios de uso de la tierra,2018,2018,mil toneladas,5524.3634,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7273,Emisiones (CO2),6516,Cambios de uso de la tierra,2019,2019,mil toneladas,5524.3634,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7225,Emisiones (CH4),6516,Cambios de uso de la tierra,2018,2018,mil toneladas,3.4233,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7225,Emisiones (CH4),6516,Cambios de uso de la tierra,2019,2019,mil toneladas,3.5334,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7230,Emisiones (N2O),6516,Cambios de uso de la tierra,2018,2018,mil toneladas,0.3126,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7230,Emisiones (N2O),6516,Cambios de uso de la tierra,2019,2019,mil toneladas,0.3226,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7273,Emisiones (CO2),6517,Pre y post-producción,2018,2018,mil toneladas,1637.6456,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7273,Emisiones (CO2),6517,Pre y post-producción,2019,2019,mil toneladas,1557.513,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7225,Emisiones (CH4),6517,Pre y post-producción,2018,2018,mil toneladas,78.295,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7225,Emisiones (CH4),6517,Pre y post-producción,2019,2019,mil toneladas,79.0638,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7230,Emisiones (N2O),6517,Pre y post-producción,2018,2018,mil toneladas,0.2614,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7230,Emisiones (N2O),6517,Pre y post-producción,2019,2019,mil toneladas,0.2623,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7273,Emisiones (CO2),6510,Uso de electricidad en agrícola,2018,2018,mil toneladas,201.8475,E,Valor estimado
EM,Distribución de emisiones,340,Honduras,7273,Emisiones (CO2),6510,Uso de electricidad en agrícola,2019,2019,mil toneladas,207.9564,E,Valor estimado
